person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,debt_to_income,age_group,loan_amnt_group
24,12960,1.0,B,3650,9.91,1,0.28,0,3,1,0,0,0,0,0,1,0,0,0,0.2816358024691358,青年,低
24,12960,0.0,B,4500,11.83,1,0.35,0,4,1,0,0,0,1,0,0,0,0,0,0.3472222222222222,青年,低
23,12996,0.0,C,2400,13.49,1,0.18,1,2,0,0,1,0,1,0,0,0,0,0,0.18467220683287167,青年,低
25,12996,1.0,D,3600,14.59,1,0.28,0,3,0,0,1,0,0,0,0,1,0,0,0.2770083102493075,青年,低
22,12996,1.0,B,4750,10.99555508249069,1,0.37,0,3,0,0,1,0,0,1,0,0,0,0,0.3654970760233918,青年,低
23,13200,3.0,A,4950,7.9,1,0.38,0,4,0,0,1,0,1,0,0,0,0,0,0.375,青年,低
23,13200,2.0,B,1400,9.25,0,0.11,0,4,1,0,0,0,0,1,0,0,0,0,0.10606060606060606,青年,低
21,13200,0.0,C,4500,12.98,1,0.34,0,4,0,0,1,0,0,0,0,0,0,1,0.3409090909090909,青年,低
23,13920,2.0,E,7750,17.04,1,0.56,0,4,0,0,1,0,0,0,0,0,1,0,0.5567528735632183,青年,低
23,14000,2.0,D,4000,15.361448400724202,1,0.29,0,3,0,0,1,0,1,0,0,0,0,0,0.2857142857142857,青年,低
21,14400,0.0,B,3000,10.99555508249069,1,0.21,0,4,0,0,1,0,0,0,1,0,0,0,0.20833333333333334,青年,低
22,14400,2.0,B,4000,10.99,1,0.28,0,3,0,0,1,0,0,0,0,1,0,0,0.2777777777777778,青年,低
24,14400,5.0,A,6000,7.49,1,0.42,0,3,0,0,1,0,0,0,0,0,1,0,0.4166666666666667,青年,低
25,14400,7.0,A,5375,5.79,1,0.37,0,2,0,0,1,0,0,1,0,0,0,0,0.3732638888888889,青年,低
21,14400,4.0,C,6250,14.72,1,0.43,0,2,0,0,1,0,0,0,0,0,0,1,0.4340277777777778,青年,低
21,14400,0.0,C,1500,13.46354152367879,0,0.1,0,4,1,0,0,0,0,0,0,1,0,0,0.10416666666666667,青年,低
23,14400,2.0,E,4000,16.7,1,0.28,0,2,0,0,1,0,0,0,1,0,0,0,0.2777777777777778,青年,低
22,14400,0.0,B,2100,11.14,0,0.15,0,4,0,0,1,0,0,0,0,0,1,0,0.14583333333333334,青年,低
23,14664,0.0,C,6000,13.46354152367879,1,0.41,0,4,1,0,0,0,1,0,0,0,0,0,0.40916530278232405,青年,低
21,15000,0.0,A,6200,7.9,1,0.41,0,2,0,0,1,0,0,0,1,0,0,0,0.41333333333333333,青年,低
23,15000,7.0,B,4475,10.99555508249069,1,0.3,0,4,0,0,1,0,0,0,0,1,0,0,0.29833333333333334,青年,低
23,15000,1.0,C,1750,12.68,0,0.12,1,3,1,0,0,0,0,0,0,1,0,0,0.11666666666666667,青年,低
23,15000,4.0,C,4000,13.98,1,0.27,0,4,0,0,1,0,1,0,0,0,0,0,0.26666666666666666,青年,低
23,15000,4.0,B,4600,10.99,1,0.31,0,2,0,0,1,0,0,0,0,0,0,1,0.30666666666666664,青年,低
25,15000,2.0,D,1750,15.31,0,0.12,1,4,0,0,1,0,0,0,1,0,0,0,0.11666666666666667,青年,低
23,15000,0.0,C,3600,13.47,1,0.24,0,4,1,0,0,0,0,0,0,0,1,0,0.24,青年,低
21,15000,0.0,C,3175,11.54,1,0.21,1,3,0,0,1,0,0,0,1,0,0,0,0.21166666666666667,青年,低
21,15120,0.0,B,1500,10.59,0,0.1,0,2,1,0,0,0,0,1,0,0,0,0,0.0992063492063492,青年,低
23,15204,7.0,A,2800,8.49,1,0.18,0,3,1,0,0,0,0,0,0,0,1,0,0.1841620626151013,青年,低
22,15360,7.0,B,2500,12.53,1,0.16,0,3,0,0,1,0,0,0,1,0,0,0,0.16276041666666666,青年,低
25,134300,3.0,D,5000,16.49,1,0.03,0,2,0,0,0,1,0,0,0,1,0,0,0.03723008190618019,青年,低
21,15600,5.0,A,1000,7.29,0,0.06,0,4,0,0,1,0,0,0,0,0,0,1,0.0641025641025641,青年,低
24,15600,5.0,A,3300,6.39,1,0.21,0,4,0,0,1,0,0,0,1,0,0,0,0.21153846153846154,青年,低
25,15600,0.0,F,3200,18.09,1,0.21,0,2,0,0,1,0,0,0,0,0,0,1,0.20512820512820512,青年,低
23,16000,7.0,A,6000,7.9,1,0.38,0,2,0,0,1,0,0,0,0,1,0,0,0.375,青年,低
23,16000,3.0,C,2275,13.06,0,0.14,1,4,1,0,0,0,1,0,0,0,0,0,0.1421875,青年,低
23,16000,7.0,A,2000,6.39,0,0.13,0,3,0,0,1,0,0,0,0,0,1,0,0.125,青年,低
23,16000,1.0,C,5600,12.84,1,0.35,0,4,1,0,0,0,0,0,0,1,0,0,0.35,青年,低
24,16020,3.0,E,3625,17.14,1,0.23,1,2,0,0,1,0,0,0,0,0,0,1,0.2262796504369538,青年,低
22,16094,2.0,A,5500,7.14,1,0.34,0,3,1,0,0,0,0,0,0,0,0,1,0.3417422641978377,青年,低
22,16200,6.0,B,2000,12.42,0,0.12,0,3,0,0,1,0,0,0,0,0,1,0,0.12345679012345678,青年,低
25,16400,1.0,A,5000,8.94,1,0.3,0,4,0,0,1,0,0,0,0,0,1,0,0.3048780487804878,青年,低
23,16500,6.0,B,4375,9.63,1,0.27,0,4,0,0,1,0,0,0,0,0,0,1,0.26515151515151514,青年,低
22,16800,5.0,B,2000,10.65,0,0.12,0,2,1,0,0,0,0,1,0,0,0,0,0.11904761904761904,青年,低
25,125800,0.0,D,10000,14.09,1,0.07,0,4,1,0,0,0,0,0,0,1,0,0,0.0794912559618442,青年,低
24,16800,4.0,A,3900,7.327650910579088,1,0.23,0,3,1,0,0,0,1,0,0,0,0,0,0.23214285714285715,青年,低
22,16800,0.0,C,4750,13.85,1,0.28,1,2,1,0,0,0,0,0,1,0,0,0,0.28273809523809523,青年,低
21,16800,0.0,B,6000,10.39,1,0.36,0,4,1,0,0,0,0,0,0,0,0,1,0.35714285714285715,青年,低
22,17352,4.0,C,2250,15.27,0,0.13,1,3,1,0,0,0,0,1,0,0,0,0,0.12966804979253113,青年,低
22,17400,6.0,B,1000,11.36,0,0.06,0,2,1,0,0,0,0,0,0,0,0,1,0.05747126436781609,青年,低
22,17760,6.0,C,4975,13.46354152367879,1,0.28,1,3,1,0,0,0,0,1,0,0,0,0,0.2801238738738739,青年,低
22,18000,3.0,A,3000,7.9,1,0.17,0,4,0,0,1,0,0,0,0,0,1,0,0.16666666666666666,青年,低
22,18000,4.0,B,2000,11.49,0,0.11,0,3,0,0,1,0,0,0,0,0,0,1,0.1111111111111111,青年,低
22,18000,1.0,A,3500,7.49,1,0.19,0,4,0,0,1,0,0,0,1,0,0,0,0.19444444444444445,青年,低
23,18000,3.0,A,4000,5.99,1,0.22,0,2,0,0,1,0,0,1,0,0,0,0,0.2222222222222222,青年,低
21,18000,3.0,D,4900,14.54,1,0.27,1,4,0,0,1,0,0,0,1,0,0,0,0.2722222222222222,青年,低
21,18000,4.0,B,5000,11.11,1,0.28,0,2,0,0,1,0,0,1,0,0,0,0,0.2777777777777778,青年,低
24,18000,0.0,A,6250,6.54,1,0.35,0,4,0,0,1,0,0,0,1,0,0,0,0.3472222222222222,青年,低
23,18000,1.0,D,2500,15.95,1,0.14,0,2,1,0,0,0,0,0,0,1,0,0,0.1388888888888889,青年,低
24,18000,6.0,A,13000,7.88,1,0.72,0,3,0,0,1,0,0,0,0,0,1,0,0.7222222222222222,青年,中
21,18000,0.0,B,6250,10.62,1,0.35,0,4,0,0,1,0,0,0,0,0,0,1,0.3472222222222222,青年,低
21,18000,1.0,B,2500,11.36,0,0.14,0,3,0,0,1,0,0,0,0,0,1,0,0.1388888888888889,青年,低
24,18000,0.0,B,10000,12.18,1,0.56,0,2,1,0,0,0,1,0,0,0,0,0,0.5555555555555556,青年,低
22,18000,2.0,C,4000,13.46354152367879,1,0.22,0,2,0,0,1,0,0,0,0,1,0,0,0.2222222222222222,青年,低
22,18000,1.0,D,5400,15.31,1,0.3,1,2,0,0,1,0,0,0,0,1,0,0,0.3,青年,低
25,18000,1.0,B,4000,10.99555508249069,1,0.22,0,3,1,0,0,0,0,0,0,1,0,0,0.2222222222222222,青年,低
21,18000,5.0,B,3375,10.99555508249069,1,0.19,0,2,0,0,1,0,0,0,0,0,0,1,0.1875,青年,低
22,43385,7.0,C,23000,13.46354152367879,1,0.53,0,3,0,0,0,1,0,0,0,0,1,0,0.5301371441742537,青年,高
25,56544,3.0,B,23000,10.99555508249069,1,0.41,0,2,0,0,0,1,0,1,0,0,0,0,0.4067628749292586,青年,高
23,60000,2.0,B,23000,12.18,1,0.38,0,4,0,0,0,1,0,0,0,0,0,1,0.38333333333333336,青年,高
24,18000,3.0,C,1200,11.34,0,0.07,1,4,1,0,0,0,0,0,0,0,0,1,0.06666666666666667,青年,低
25,63208,9.0,B,23000,9.91,1,0.36,0,3,0,0,0,1,0,1,0,0,0,0,0.3638779901278319,青年,高
24,65000,0.0,B,23000,11.99,1,0.35,0,4,0,0,0,1,0,0,1,0,0,0,0.35384615384615387,青年,高
23,68000,7.0,B,23000,9.62,1,0.34,0,2,0,0,0,1,0,1,0,0,0,0,0.3382352941176471,青年,高
22,18000,1.0,B,3000,9.96,1,0.17,0,3,0,0,1,0,1,0,0,0,0,0,0.16666666666666666,青年,低
25,80000,9.0,C,23000,13.46354152367879,0,0.29,0,2,0,0,0,1,0,0,0,0,0,1,0.2875,青年,高
24,88000,1.0,D,23000,14.54,1,0.26,0,2,0,0,0,1,0,0,0,0,0,1,0.26136363636363635,青年,高
22,58600,5.0,B,22750,11.36,1,0.39,0,4,0,0,0,1,0,0,0,1,0,0,0.38822525597269625,青年,高
23,70000,7.0,C,22500,14.27,1,0.32,0,2,0,0,0,1,1,0,0,0,0,0,0.32142857142857145,青年,高
24,18287,3.0,B,3000,11.99,1,0.16,0,3,0,0,1,0,0,0,1,0,0,0,0.16405096516651174,青年,低
26,69846,2.0,F,22500,18.99,1,0.32,1,2,0,0,0,1,0,1,0,0,0,0,0.32213727343011767,青年,高
24,73000,0.0,E,22400,16.7,1,0.31,1,4,0,0,0,1,0,0,0,0,0,1,0.30684931506849317,青年,高
24,18500,8.0,A,5000,9.32,1,0.27,0,3,1,0,0,0,0,0,0,0,1,0,0.2702702702702703,青年,低
23,35000,2.0,B,22250,12.69,1,0.64,0,3,0,0,0,1,1,0,0,0,0,0,0.6357142857142857,青年,高
25,43000,9.0,C,22000,13.11,1,0.51,0,2,0,0,0,1,0,0,1,0,0,0,0.5116279069767442,青年,高
25,52000,4.0,B,22000,10.74,1,0.42,0,2,0,0,0,1,0,0,0,0,1,0,0.4230769230769231,青年,高
21,18701,0.0,D,4200,14.11,1,0.22,1,4,1,0,0,0,0,0,0,0,1,0,0.22458692048553552,青年,低
22,57000,6.0,B,22000,9.63,1,0.39,0,3,0,0,0,1,0,1,0,0,0,0,0.38596491228070173,青年,高
25,58000,0.0,C,22000,14.65,1,0.38,0,2,0,0,0,1,0,0,0,1,0,0,0.3793103448275862,青年,高
23,60000,6.0,B,22000,10.25,1,0.37,0,4,0,0,0,1,1,0,0,0,0,0,0.36666666666666664,青年,高
24,60000,3.0,C,22000,14.26,1,0.37,1,2,0,0,0,1,0,0,0,0,0,1,0.36666666666666664,青年,高
25,18840,5.0,B,3000,9.91,1,0.16,0,2,1,0,0,0,0,1,0,0,0,0,0.1592356687898089,青年,低
26,56000,7.0,E,22000,17.19,1,0.39,0,3,0,0,0,1,0,0,0,1,0,0,0.39285714285714285,青年,高
22,70000,3.0,B,22000,11.36,1,0.31,0,4,0,0,0,1,0,1,0,0,0,0,0.3142857142857143,青年,高
22,66000,1.0,F,22000,18.609158878504672,1,0.33,0,2,0,0,0,1,0,1,0,0,0,0,0.3333333333333333,青年,高
23,74064,3.0,B,22000,10.59,0,0.3,0,3,0,0,0,1,1,0,0,0,0,0,0.2970403974940592,青年,高
24,76597,5.0,B,22000,9.25,0,0.29,0,2,0,0,0,1,0,1,0,0,0,0,0.2872175150462812,青年,高
22,19000,6.0,A,3625,8.49,1,0.19,0,3,0,0,1,0,0,0,0,1,0,0,0.19078947368421054,青年,低
26,77000,0.0,A,22000,6.54,0,0.29,0,3,0,0,0,1,0,0,0,0,0,1,0.2857142857142857,青年,高
21,19000,5.0,A,6000,8.49,1,0.32,0,3,0,0,1,0,0,0,0,1,0,0,0.3157894736842105,青年,低
24,80000,0.0,A,22000,7.327650910579088,0,0.28,0,4,0,0,0,1,0,0,0,1,0,0,0.275,青年,高
26,82600,10.0,B,22000,12.69,0,0.27,0,2,0,0,0,1,0,0,0,0,0,1,0.26634382566585957,青年,高
24,19000,3.0,C,7400,13.85,1,0.39,0,2,0,0,1,0,0,0,0,1,0,0,0.3894736842105263,青年,低
25,19000,3.0,A,4000,7.4,1,0.21,0,3,0,0,1,0,1,0,0,0,0,0,0.21052631578947367,青年,低
23,84000,3.0,B,22000,11.71,0,0.26,0,4,0,0,0,1,1,0,0,0,0,0,0.2619047619047619,青年,高
25,77650,8.0,B,22000,11.48,1,0.28,0,3,0,0,0,1,0,0,0,0,1,0,0.28332260141661303,青年,高
25,82000,1.0,E,22000,17.51,1,0.27,0,2,0,0,0,1,0,1,0,0,0,0,0.2682926829268293,青年,高
21,19012,0.0,D,3500,14.61,1,0.18,0,3,1,0,0,0,1,0,0,0,0,0,0.18409425625920472,青年,低
23,99996,3.0,A,22000,7.88,0,0.22,0,4,0,0,0,1,1,0,0,0,0,0,0.2200088003520141,青年,高
23,110000,0.0,B,22000,10.99555508249069,0,0.2,0,3,0,0,0,1,0,0,0,0,1,0,0.2,青年,高
22,19200,6.0,B,4950,11.71,1,0.26,0,2,1,0,0,0,0,0,0,0,1,0,0.2578125,青年,低
25,57000,4.0,B,21700,11.99,1,0.38,0,2,0,0,0,1,0,0,0,0,1,0,0.38070175438596493,青年,高
24,54000,5.0,C,21600,13.49,1,0.4,0,2,0,0,0,1,0,0,0,0,0,1,0.4,青年,高
23,56000,8.0,G,21600,21.21,1,0.39,1,4,0,0,0,1,0,0,0,1,0,0,0.38571428571428573,青年,高
26,63000,2.0,C,21600,14.35,1,0.34,1,3,0,0,0,1,1,0,0,0,0,0,0.34285714285714286,青年,高
22,82000,3.0,C,21600,13.61,0,0.26,1,3,0,0,0,1,0,0,0,0,1,0,0.2634146341463415,青年,高
22,78000,6.0,B,21600,11.26,1,0.28,0,3,0,0,0,1,1,0,0,0,0,0,0.27692307692307694,青年,高
22,19200,0.0,B,2400,10.59,0,0.13,0,3,0,0,1,0,0,0,0,0,0,1,0.125,青年,低
24,112140,8.0,A,21600,7.9,0,0.19,0,2,0,0,0,1,0,0,0,1,0,0,0.1926163723916533,青年,高
24,19200,4.0,A,7000,5.99,1,0.36,0,4,1,0,0,0,0,0,1,0,0,0,0.3645833333333333,青年,低
25,19200,4.0,B,3000,11.99,1,0.16,0,4,0,0,1,0,0,1,0,0,0,0,0.15625,青年,低
24,59000,5.0,D,21500,16.89,1,0.36,0,3,0,0,0,1,0,0,0,1,0,0,0.3644067796610169,青年,高
24,70000,5.0,B,21500,9.99,1,0.31,0,3,0,0,0,1,0,0,1,0,0,0,0.30714285714285716,青年,高
24,116000,5.0,D,21500,15.33,0,0.19,1,3,0,0,0,1,0,1,0,0,0,0,0.1853448275862069,青年,高
25,60000,5.0,A,21450,7.29,1,0.36,0,4,0,0,0,1,0,1,0,0,0,0,0.3575,青年,高
22,31000,5.0,B,21250,12.42,1,0.69,0,3,0,0,0,1,1,0,0,0,0,0,0.6854838709677419,青年,高
25,47052,5.0,B,21250,10.99,1,0.45,0,2,0,0,0,1,0,0,0,0,0,1,0.4516279860579784,青年,高
25,51060,9.0,A,21250,6.91,1,0.42,0,2,0,0,0,1,0,0,0,0,0,1,0.4161770466118292,青年,高
22,19200,6.0,C,5000,14.17,1,0.26,1,2,1,0,0,0,1,0,0,0,0,0,0.2604166666666667,青年,低
22,53000,3.0,B,21250,10.25,1,0.4,0,3,0,0,0,1,0,0,0,1,0,0,0.4009433962264151,青年,高
26,19200,0.0,B,9250,10.99555508249069,1,0.48,0,2,0,0,1,0,0,1,0,0,0,0,0.4817708333333333,青年,低
24,56000,8.0,D,21250,15.95,1,0.38,1,3,0,0,0,1,0,0,0,0,0,1,0.3794642857142857,青年,高
24,65000,4.0,D,21250,15.95,1,0.33,1,4,0,0,0,1,0,1,0,0,0,0,0.3269230769230769,青年,高
21,35000,3.0,B,21000,12.53,1,0.6,0,4,0,0,0,1,0,0,0,0,0,1,0.6,青年,高
22,19200,6.0,D,1400,14.91,1,0.07,1,4,1,0,0,0,0,0,1,0,0,0,0.07291666666666667,青年,低
23,19200,7.0,A,3000,7.327650910579088,1,0.16,0,4,1,0,0,0,0,0,0,1,0,0,0.15625,青年,低
26,40000,3.0,A,21000,6.54,1,0.53,0,4,0,0,0,1,0,0,0,1,0,0,0.525,青年,高
25,19200,2.0,B,1000,10.99555508249069,0,0.05,0,3,0,0,1,0,0,0,0,0,0,1,0.052083333333333336,青年,低
26,42000,0.0,F,21000,17.26,1,0.5,1,4,0,0,0,1,0,0,0,1,0,0,0.5,青年,高
23,63000,2.0,B,21000,11.36,1,0.33,0,2,0,0,0,1,0,0,0,1,0,0,0.3333333333333333,青年,高
26,19200,5.0,A,4000,7.51,1,0.21,0,4,1,0,0,0,0,0,0,0,0,1,0.20833333333333334,青年,低
22,59000,2.0,B,21000,10.71,1,0.36,0,3,0,0,0,1,0,0,0,0,1,0,0.3559322033898305,青年,高
22,70500,3.0,C,21000,13.98,0,0.3,1,4,0,0,0,1,0,0,0,0,1,0,0.2978723404255319,青年,高
26,65219,11.0,D,21000,14.09,1,0.32,0,3,0,0,0,1,1,0,0,0,0,0,0.3219920575292476,青年,高
22,75000,2.0,B,21000,10.0,0,0.28,0,3,0,0,0,1,0,1,0,0,0,0,0.28,青年,高
22,19200,3.0,D,5000,15.33,1,0.26,0,3,1,0,0,0,0,0,0,1,0,0,0.2604166666666667,青年,低
25,62047,9.0,E,21000,16.32,1,0.29,1,4,0,0,0,1,0,0,0,1,0,0,0.3384531081277096,青年,高
24,79000,8.0,A,21000,7.9,0,0.27,0,2,0,0,0,1,0,0,1,0,0,0,0.26582278481012656,青年,高
23,80000,3.0,B,21000,11.99,0,0.26,0,3,0,0,0,1,0,0,0,1,0,0,0.2625,青年,高
24,84000,8.0,B,21000,10.75,0,0.25,0,4,0,0,0,1,0,0,0,1,0,0,0.25,青年,高
26,85000,3.0,C,21000,13.92,0,0.25,0,3,0,0,0,1,0,0,1,0,0,0,0.24705882352941178,青年,高
22,93000,1.0,B,21000,9.91,0,0.23,0,3,0,0,0,1,0,1,0,0,0,0,0.22580645161290322,青年,高
26,81000,10.0,E,21000,16.95,1,0.26,1,3,0,0,0,1,0,1,0,0,0,0,0.25925925925925924,青年,高
26,97000,1.0,A,21000,7.9,0,0.22,0,3,0,0,0,1,0,1,0,0,0,0,0.21649484536082475,青年,高
26,97000,3.0,C,21000,13.46354152367879,0,0.22,1,3,0,0,0,1,0,1,0,0,0,0,0.21649484536082475,青年,高
25,100000,2.0,D,21000,16.49,1,0.21,1,3,0,0,0,1,0,0,0,0,1,0,0.21,青年,高
26,19200,0.0,C,7500,11.97,1,0.39,1,2,0,1,0,0,0,0,0,0,1,0,0.390625,青年,低
21,19253,4.0,A,6250,6.17,1,0.32,0,3,1,0,0,0,1,0,0,0,0,0,0.3246247338077183,青年,低
26,125000,5.0,A,21000,8.9,0,0.17,0,2,0,0,0,1,0,0,1,0,0,0,0.168,青年,高
25,125000,9.0,C,21000,12.99,0,0.17,1,3,0,0,0,1,0,1,0,0,0,0,0.168,青年,高
23,82000,2.0,B,20900,12.69,0,0.25,0,2,0,0,0,1,0,0,0,0,1,0,0.2548780487804878,青年,高
21,19500,0.0,B,15000,9.64,1,0.77,0,2,1,0,0,0,0,1,0,0,0,0,0.7692307692307693,青年,中
26,50000,7.0,A,20500,7.49,1,0.41,0,3,0,0,0,1,0,0,0,0,0,1,0.41,青年,高
23,70000,2.0,C,20500,13.16,0,0.29,1,3,0,0,0,1,0,1,0,0,0,0,0.29285714285714287,青年,高
22,19800,1.0,A,2100,8.38,0,0.11,0,4,0,0,1,0,0,1,0,0,0,0,0.10606060606060606,青年,低
23,54000,7.0,A,20375,7.49,1,0.38,0,2,0,0,0,1,0,0,0,0,1,0,0.3773148148148148,青年,高
26,26000,10.0,B,20050,9.76,1,0.77,0,2,0,0,0,1,0,1,0,0,0,0,0.7711538461538462,青年,高
24,33000,1.0,B,20000,10.99,1,0.61,0,3,0,0,0,1,1,0,0,0,0,0,0.6060606060606061,青年,中
23,20000,0.0,B,5000,11.71,0,0.25,0,4,0,0,1,0,0,0,0,0,1,0,0.25,青年,低
22,20000,6.0,B,9250,10.65,0,0.46,0,4,0,0,1,0,0,0,0,0,1,0,0.4625,青年,低
24,35364,1.0,B,20000,12.53,1,0.57,0,4,0,0,0,1,0,0,0,1,0,0,0.5655468838366701,青年,中
25,38000,4.0,D,20000,14.59,1,0.53,0,4,0,0,0,1,0,0,0,1,0,0,0.5263157894736842,青年,中
23,32000,3.0,D,20000,12.61,1,0.63,0,4,0,0,0,1,1,0,0,0,0,0,0.625,青年,中
25,38004,6.0,C,20000,13.11,1,0.53,0,2,0,0,0,1,0,0,0,1,0,0,0.5262603936427744,青年,中
23,20000,2.0,B,6400,10.65,0,0.32,0,4,1,0,0,0,0,0,0,1,0,0,0.32,青年,低
25,38556,9.0,C,20000,11.22,1,0.52,1,4,0,0,0,1,0,0,0,0,1,0,0.5187260089220873,青年,中
23,32900,1.0,D,20000,16.0,1,0.61,0,2,0,0,0,1,0,1,0,0,0,0,0.60790273556231,青年,中
25,34000,10.0,B,20000,8.88,1,0.59,0,4,0,0,0,1,0,0,1,0,0,0,0.5882352941176471,青年,中
24,40000,4.0,B,20000,12.53,1,0.5,0,3,0,0,0,1,0,0,0,0,1,0,0.5,青年,中
21,36000,5.0,D,20000,15.361448400724202,1,0.56,1,2,0,0,0,1,0,0,0,1,0,0,0.5555555555555556,青年,中
26,20000,5.0,A,4800,5.99,0,0.24,0,3,1,0,0,0,0,0,0,1,0,0,0.24,青年,低
25,42000,2.0,C,20000,13.47,1,0.48,0,4,0,0,0,1,0,1,0,0,0,0,0.47619047619047616,青年,中
22,42224,7.0,A,20000,6.99,1,0.47,0,4,0,0,0,1,0,0,0,0,0,1,0.47366426676771506,青年,中
25,20000,0.0,D,5650,15.99,0,0.28,1,2,0,0,1,0,0,0,0,0,1,0,0.2825,青年,低
23,20000,7.0,C,3625,13.46354152367879,0,0.18,1,3,1,0,0,0,0,1,0,0,0,0,0.18125,青年,低
22,37212,6.0,E,20000,16.69,1,0.54,0,3,0,0,0,1,1,0,0,0,0,0,0.5374610340750295,青年,中
25,38000,9.0,B,20000,11.11,1,0.53,0,4,0,0,0,1,0,0,0,1,0,0,0.5263157894736842,青年,中
22,45000,0.0,A,20000,7.9,1,0.44,0,4,0,0,0,1,0,1,0,0,0,0,0.4444444444444444,青年,中
23,45000,4.0,B,20000,10.25,1,0.44,0,2,0,0,0,1,0,0,0,0,1,0,0.4444444444444444,青年,中
24,45000,8.0,E,20000,17.009455164585695,1,0.44,0,2,0,0,0,1,0,0,0,1,0,0,0.4444444444444444,青年,中
23,20000,7.0,A,1200,7.49,0,0.06,0,3,0,0,1,0,0,0,0,1,0,0,0.06,青年,低
22,45000,1.0,C,20000,13.92,1,0.44,1,3,0,0,0,1,1,0,0,0,0,0,0.4444444444444444,青年,中
24,39000,5.0,D,20000,14.74,1,0.51,0,2,0,0,0,1,0,0,0,1,0,0,0.5128205128205128,青年,中
